,atype,batch_size,dropout_rate,hidden_layers,hidden_n0,hidden_n1,iters,learning_rate,lookback,loss,max_epochs,mtype,n_outputs,neurons_n0,neurons_n1,patience,predictor,td_neurons,weights_0,weights_1,weights_2,weights_3,epochs,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc
0,ENDE,512,0.4,1,25,35,1,0.001,16,False,50,GRU,1,50,50,30,behavior,30,4.5,1,19,9,50.0,1.2274549007415771,0.4316604435443878,0.7827978134155273,0.5767694711685181,0.42602983117103577,0.865136444568634
1,ENDE,512,0.6000000000000001,1,45,10,1,0.001,7,False,50,GRU,1,25,35,30,behavior,40,1.5,1,21,6,50.0,0.9712613224983215,0.418226957321167,0.7730559706687927,0.575183629989624,0.4210621118545532,0.8439208269119263
2,ENDE,512,0.30000000000000004,1,50,45,1,0.001,9,False,50,GRU,1,25,50,30,behavior,15,4.5,1,22,5,15.0,1.1230140924453735,0.4217643141746521,0.7770944237709045,0.5733239054679871,0.42675068974494934,0.8515777587890625
3,ENDE,512,0.9,0,10,20,1,0.001,11,False,50,GRU,1,15,20,30,behavior,45,3.0,1,3,2,50.0,0.8276001811027527,0.381278932094574,0.7852092385292053,0.5808672308921814,0.4175952672958374,0.8614732027053833
4,ENDE,512,0.7000000000000001,1,10,5,1,0.001,2,False,50,GRU,1,5,40,30,behavior,10,2.5,1,3,4,10.0,0.9681519865989685,0.3151589334011078,0.7541249990463257,0.6149588227272034,0.37496793270111084,0.823890209197998
5,ENDE,512,0.8,2,30,30,1,0.001,17,False,50,GRU,1,15,25,30,behavior,25,2.5,1,13,6,50.0,1.0441060066223145,0.35851767659187317,0.7414958477020264,0.638569712638855,0.34626883268356323,0.8609645962715149
6,ENDE,512,0.2,1,40,35,1,0.001,4,False,50,GRU,1,10,30,30,behavior,45,3.0,1,15,10,50.0,1.2713367938995361,0.41734054684638977,0.7666215896606445,0.5814958214759827,0.4188300669193268,0.8345811367034912
7,ENDE,512,0.30000000000000004,1,45,15,1,0.001,8,False,50,GRU,1,45,25,30,behavior,40,4.0,1,6,9,11.0,1.192889928817749,0.4230678081512451,0.7748576402664185,0.573141872882843,0.42726531624794006,0.8480719327926636
8,ENDE,512,0.5,2,10,5,1,0.001,12,False,50,GRU,1,5,30,30,behavior,10,1.0,1,18,8,50.0,1.142492651939392,0.3501476049423218,0.7235335111618042,0.5906495451927185,0.4142860174179077,0.8617974519729614
9,ENDE,512,0.1,2,40,25,1,0.001,2,False,50,GRU,1,35,20,30,behavior,15,3.0,1,8,5,50.0,0.9825341701507568,0.41910499334335327,0.761947512626648,0.5724071264266968,0.4277085065841675,0.830174446105957
10,ENDE,512,0.9,2,15,25,1,0.001,12,False,50,GRU,1,25,15,30,behavior,20,2.0,1,13,3,50.0,1.0489670038223267,0.20171278715133667,0.6997475028038025,0.6705464720726013,0.2303706258535385,0.852416455745697
11,ENDE,512,0.6000000000000001,0,10,30,1,0.001,13,False,50,GRU,1,10,10,30,behavior,40,4.0,1,13,10,50.0,1.288949966430664,0.41153013706207275,0.7857339978218079,0.5676860213279724,0.43276798725128174,0.8601812720298767
12,ENDE,512,0.1,2,40,35,1,0.001,13,False,50,GRU,1,30,45,30,behavior,45,2.0,1,4,2,50.0,0.7100998163223267,0.42249104380607605,0.7836059331893921,0.5675410032272339,0.43276798725128174,0.8601812720298767
13,ENDE,512,0.6000000000000001,1,40,40,1,0.001,13,False,50,GRU,1,10,20,30,behavior,20,2.0,1,11,4,50.0,0.8842064142227173,0.39921367168426514,0.7625221610069275,0.5766358971595764,0.4225543141365051,0.861078679561615
14,ENDE,512,0.30000000000000004,2,10,35,1,0.001,9,False,50,GRU,1,15,45,30,behavior,20,2.5,1,17,4,50.0,0.9141029715538025,0.4154083728790283,0.7770040035247803,0.5734875798225403,0.42675068974494934,0.8515777587890625
15,ENDE,512,0.30000000000000004,2,35,15,1,0.001,7,False,50,GRU,1,35,5,30,behavior,50,2.0,1,4,2,50.0,0.7161770462989807,0.4229428172111511,0.7731099128723145,0.5751917362213135,0.4210621118545532,0.8439208269119263
16,ENDE,512,0.8,1,10,25,1,0.001,11,False,50,GRU,1,25,10,30,behavior,5,5.0,1,16,4,50.0,1.265258550643921,0.3046845495700836,0.7088642120361328,0.632839560508728,0.34107810258865356,0.8553478717803955
17,ENDE,512,0.1,2,35,35,1,0.001,8,False,50,GRU,1,15,20,30,behavior,15,2.0,1,19,2,18.0,0.8267179727554321,0.42322883009910583,0.7755410075187683,0.5732492208480835,0.42726531624794006,0.8480719327926636
18,ENDE,512,0.5,1,40,10,1,0.001,4,False,50,GRU,1,10,45,30,behavior,15,1.0,1,6,7,50.0,0.9247567653656006,0.4109404981136322,0.764849841594696,0.581716001033783,0.4186018705368042,0.8345264792442322
19,ENDE,512,0.5,1,45,10,1,0.001,18,False,50,GRU,1,15,15,30,behavior,15,5.0,1,10,9,50.0,1.2353289127349854,0.4221092164516449,0.7921265959739685,0.5773312449455261,0.4060976207256317,0.869316577911377
20,ENDE,512,0.6000000000000001,0,20,50,1,0.001,22,False,50,GRU,1,35,35,30,behavior,35,3.5,1,1,1,50.0,0.6700400710105896,0.4449451267719269,0.8090142011642456,0.5664700865745544,0.4356917142868042,0.8819289207458496
21,ENDE,512,0.7000000000000001,0,20,50,1,0.001,23,False,50,GRU,1,35,40,30,behavior,35,3.5,1,1,1,50.0,0.6864829659461975,0.42957791686058044,0.8199800252914429,0.5774621963500977,0.4360240399837494,0.891076922416687
22,ENDE,512,0.4,0,25,50,1,0.001,22,False,50,GRU,1,40,35,30,behavior,50,3.5,1,25,1,50.0,0.8007118105888367,0.4471513330936432,0.8115321397781372,0.5688056945800781,0.43113330006599426,0.8816803097724915
