,atype,batch_size,dropout_rate,hidden_layers,hidden_n0,hidden_n1,iters,learning_rate,lookback,loss,max_epochs,mtype,n_outputs,neurons_n,patience,predictor,weights_0,weights_1,weights_2,weights_3,epochs,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc
0,VRNN,512,0.6000000000000001,2,30,35,1,0.001,23,False,50,GRU,1,30,30,behavior,4.5,1,19,9,50.0,1.200478196144104,0.4056725800037384,0.818151593208313,0.5833419561386108,0.4325687885284424,0.88984614610672
1,VRNN,512,0.2,1,30,15,1,0.001,15,False,50,GRU,1,40,30,behavior,1.5,1,21,6,17.0,0.9655561447143555,0.4248545169830322,0.7853154540061951,0.5745822191238403,0.4275266230106354,0.8603433966636658
2,VRNN,512,0.8,1,40,20,1,0.001,23,False,50,GRU,1,15,30,behavior,4.5,1,22,5,50.0,1.184358835220337,0.3378819525241852,0.8006981611251831,0.6135788559913635,0.4186522662639618,0.8944615125656128
3,VRNN,512,0.30000000000000004,0,10,25,1,0.001,8,False,50,GRU,1,45,30,behavior,3.0,1,3,2,50.0,0.7721524238586426,0.42525580525398254,0.7731776833534241,0.573967695236206,0.4269578158855438,0.845492422580719
4,VRNN,512,0.1,0,40,5,1,0.001,17,False,50,GRU,1,10,30,behavior,2.5,1,3,4,50.0,0.8070326447486877,0.4326247274875641,0.7881197333335876,0.5875343084335327,0.4175124764442444,0.8641045093536377
5,VRNN,512,0.5,0,40,40,1,0.001,10,False,50,GRU,1,25,30,behavior,2.5,1,13,6,50.0,0.9912745356559753,0.42787685990333557,0.7691716551780701,0.5758263468742371,0.423968642950058,0.8461936712265015
6,VRNN,512,0.7000000000000001,0,30,10,1,0.001,13,False,50,GRU,1,45,30,behavior,3.0,1,15,10,50.0,1.2026631832122803,0.4281323254108429,0.7743054032325745,0.5749948024749756,0.42449939250946045,0.847437858581543
7,VRNN,512,0.30000000000000004,2,35,20,1,0.001,12,False,50,GRU,1,40,30,behavior,4.0,1,6,9,50.0,1.1746758222579956,0.4218149483203888,0.7824130058288574,0.5739115476608276,0.42671525478363037,0.8579445481300354
8,VRNN,512,0.1,0,50,30,1,0.001,14,False,50,GRU,1,10,30,behavior,1.0,1,18,8,50.0,1.0013716220855713,0.4275878965854645,0.7730221152305603,0.5716583132743835,0.428642600774765,0.8533049821853638
9,VRNN,512,0.5,1,50,5,1,0.001,8,False,50,GRU,1,15,30,behavior,3.0,1,8,5,50.0,0.956394612789154,0.4207422137260437,0.7751708626747131,0.5732392072677612,0.42726531624794006,0.8480719327926636
