,model,mean,sd,median,mad,lci95,uci95,lci90,uci90,lci80,uci80,lci50,uci50,rhat
train_loss,VRNN_GRU_behavior_catloss,1.1668434879294147,0.37377470799793705,1.103642463684082,0.30111801910547537,0.5985803604125977,2.0062334537506104,0.6566285490989685,1.8744505643844604,0.7159249782562256,1.6802639961242676,0.8912768363952637,1.4039701223373413,1.0140978147134685
val_loss,VRNN_GRU_behavior_catloss,0.5188512675740101,0.10546940721741056,0.49816495180130005,0.08554837455760962,0.3592835068702698,0.7665431499481201,0.37657245993614197,0.711969256401062,0.39753490686416626,0.6660506725311279,0.4390197694301605,0.590839147567749,1.019760556436268
train_f1,VRNN_GRU_behavior_catloss,0.30147879129206695,0.04180748619341412,0.3061034828424454,0.033955836016046057,0.2244538962841034,0.3680351674556732,0.232400044798851,0.36043089628219604,0.24817737936973572,0.3509422540664673,0.27230000495910645,0.334113746881485,1.1080023318868717
val_f1,VRNN_GRU_behavior_catloss,0.29686690017029094,0.052657396026083665,0.29498036205768585,0.0456395261425051,0.22358238697052002,0.38053369522094727,0.22706355154514313,0.3701150119304657,0.23273450136184692,0.3588278889656067,0.23990479111671448,0.3452380895614624,1.0913196452138287
train_acc,VRNN_GRU_behavior_catloss,0.7899816732715678,0.03329728547918224,0.7967508733272552,0.02463291424987087,0.696635365486145,0.8331864476203918,0.7204036712646484,0.828956127166748,0.7466400861740112,0.823870062828064,0.776401937007904,0.8131300210952759,1.0175068892476828
val_acc,VRNN_GRU_behavior_catloss,0.8676191803481844,0.02853873355658354,0.8750823438167572,0.021291711860232862,0.794074535369873,0.9039999842643738,0.8068705201148987,0.9005717039108276,0.8284939527511597,0.8965445756912231,0.8561254143714905,0.8872987627983093,1.0172908542589612
epochs,VRNN_GRU_behavior_catloss,83.05925925925926,29.775851046993377,100.0,24.658189300411603,10.0,100.0,14.0,100.0,26.0,100.0,66.0,100.0,1.0505722560563893
lookback,VRNN_GRU_behavior_catloss,16.80185185185185,5.625907166287815,18.0,4.535438957475976,2.0,23.0,5.0,23.0,8.0,23.0,14.0,21.0,1.0222869372752919
neurons_n,VRNN_GRU_behavior_catloss,27.85185185185185,12.316041408284987,30.0,10.357201646090571,5.0,50.0,5.0,50.0,10.0,45.0,20.0,35.0,1.1825276201698975
hidden_layers,VRNN_GRU_behavior_catloss,0.7592592592592593,0.6792767403557419,1.0,0.57647462277092,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.4261876644199936
hidden_n0,VRNN_GRU_behavior_catloss,35.3134328358209,12.702502176093057,40.0,10.536333259077724,5.0,50.0,10.0,50.0,15.0,50.0,25.0,45.0,1.5988977344679183
hidden_n1,VRNN_GRU_behavior_catloss,27.933333333333334,15.20342540824745,25.0,13.583999999999982,5.0,50.0,5.0,50.0,5.0,45.0,15.0,45.0,1.2242675828851097
dropout_rate,VRNN_GRU_behavior_catloss,0.43037037037036957,0.23726145495483236,0.4,0.20418106995884738,0.1,0.9,0.1,0.8,0.1,0.8,0.2,0.6000000000000001,1.4155240343954463
weights_0,VRNN_GRU_behavior_catloss,1.9953703703703705,1.0371024516528504,1.5,0.8098422496570647,1.0,4.5,1.0,4.0,1.0,3.5,1.0,2.5,1.0143641870857216
weights_2,VRNN_GRU_behavior_catloss,7.2407407407407405,5.874176009591301,6.0,4.606721536351168,1.0,23.0,1.0,20.0,1.0,16.0,3.0,10.0,0.9975004754176641
weights_3,VRNN_GRU_behavior_catloss,3.138888888888889,2.267207273012384,2.0,1.775617283950623,1.0,9.0,1.0,8.0,1.0,7.0,1.0,4.0,1.00286070663339
