,ID,feature,lookback,accuracy,precision,recall,f1,accuracy_f,accuracy_r,accuracy_s,accuracy_t,f1_f,f1_r,f1_s,f1_t,precision_f,precision_r,precision_s,precision_t,recall_f,recall_r,recall_s,recall_t,roc_weight,roc_micro,roc_macro,pr_weight,pr_macro,cat_loss,accuracy_3,precision_3,recall_3,f1_3,FF,FR,FS,FT,RF,RR,RS,RT,SF,SR,SS,ST,TF,TR,TS,TT,F_pred,R_pred,S_pred,T_pred,KSD_F,KSP_F,KSD_R,KSP_R,KSD_S,KSP_S,KSD_T,KSP_T,F_dprop,R_dprop,S_dprop,T_dprop
0,88359,act_dist22,-99,0.7120853080568721,0.25608582572182015,0.2550049248177109,0.2551817895289375,0.8372037914691943,0.728909952606635,0.9821090047393365,0.8759478672985782,0.09126984126984128,0.8376383763837638,0.025806451612903226,0.06601248884924175,0.09583333333333334,0.8256855064353665,0.029411764705882353,0.07341269841269842,0.08712121212121213,0.8499423963133641,0.022988505747126436,0.059967585089141004,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8140205371248026,0.3316438460604661,0.33234373117457244,0.33164023550094895,69,658,10,55,588,5902,48,406,8,71,2,6,55,517,8,37,720,7148,68,504.0,0.039781591263650544,0.26244321782649804,0.06942277691107644,0.00413595255461084,0.014820592823712949,0.9989647274121123,0.044461778471138844,0.1585769946482069,0.08074178514700588,0.85270390738065,0.006873304227851352,0.05968100324449278
1,34913,actdist_22,-99,0.7086492890995261,0.2535274137469363,0.253271001355183,0.25309258630321735,0.8360189573459715,0.7227488151658767,0.9803317535545024,0.8781990521327014,0.10129870129870129,0.8337123365548607,0.011904761904761906,0.06545454545454546,0.10427807486631016,0.8229517396184063,0.012345679012345678,0.07453416149068323,0.09848484848484848,0.844758064516129,0.011494252873563218,0.05834683954619125,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8123222748815166,0.3339213253251332,0.33386325084905627,0.33348852776936916,78,669,6,39,603,5866,71,404,10,72,1,4,57,521,3,36,748,7128,81,483.0,0.056162246489859596,0.0350461652391005,0.05694227769110764,0.03129588501816664,0.0070202808112324495,0.9999999999999981,0.031981279251170044,0.528613208873337,0.09219340446507251,0.8337965571696246,0.011746058837964729,0.062263979527338066
2,144656,actdist_22,-99,0.7092417061611375,0.24975569713802268,0.24963644783614025,0.24924640838692708,0.8334123222748815,0.7233412322274881,0.9805687203791469,0.8811611374407583,0.08701298701298701,0.8344323902715735,0.012048192771084338,0.0634920634920635,0.08957219251336898,0.8219025003492108,0.012658227848101266,0.07488986784140969,0.0845959595959596,0.8473502304147466,0.011494252873563218,0.055105348460291734,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8126382306477092,0.3287881869013298,0.3290171794903326,0.32831248025887466,67,682,7,36,616,5884,66,378,4,76,1,6,61,517,5,34,748,7159,79,454.0,0.059282371294851796,0.02207747945503061,0.06162246489859594,0.015356569763992427,0.01014040561622465,0.9999999306557845,0.0421216848673947,0.2055040810504769,0.08799888372392446,0.8436709722496193,0.00945869693831314,0.0588714470881432
3,165180,actdist_22,-99,0.7069905213270142,0.25618732566659885,0.2548550970469154,0.2551085351809832,0.8355450236966825,0.7180094786729858,0.9821090047393365,0.8783175355450237,0.09635416666666666,0.8310618966496309,0.025806451612903226,0.06721162579473207,0.09946236559139784,0.8194288913773796,0.029411764705882353,0.07644628099173553,0.09343434343434344,0.8430299539170507,0.022988505747126436,0.059967585089141004,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8106240126382307,0.33177917932017104,0.3321439608135117,0.33154256303700985,74,680,5,33,621,5854,58,411,1,81,2,3,48,529,3,37,744,7144,68,484.0,0.078003120124805,0.0008152273265333536,0.06318252730109204,0.011961659865334553,0.015600624024960999,0.9976846591343851,0.0452418096723869,0.14498473093636366,0.09372041486271829,0.8417239343717369,0.006850009312924363,0.057705641452620464
4,111742,actdist_22,-99,0.7138625592417062,0.25145455704879877,0.251331256760667,0.25079327122019107,0.837914691943128,0.7260663507109004,0.981042654028436,0.8827014218009479,0.09523809523809525,0.8366539494135934,0.012345679012345677,0.058935361216730035,0.1,0.8212205270457698,0.013333333333333334,0.07126436781609195,0.09090909090909091,0.8526785714285714,0.011494252873563218,0.050243111831442464,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8155608214849921,0.3308282982872872,0.33127692472303494,0.33027580195613954,72,681,8,31,591,5921,63,369,5,77,1,4,52,531,3,31,720,7210,75,435.0,0.044461778471138844,0.1585769946482069,0.08658346333853355,0.00013290179572066727,0.01014040561622465,0.9999999306557845,0.0514820592823713,0.06687825742127132,0.08053648657083108,0.8566906617391706,0.00841575386335412,0.054357097826644156
5,56310,actdist_22,-99,0.7112559241706161,0.24985129775815407,0.24958858386228164,0.24926503917814938,0.832345971563981,0.7281990521327014,0.9806872037914692,0.8812796208530805,0.0805717998700455,0.8373280385760885,0.012121212121212121,0.0670391061452514,0.08299866131191433,0.8248113998323554,0.01282051282051282,0.0787746170678337,0.07828282828282829,0.8502304147465438,0.011494252873563218,0.05834683954619125,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8139415481832543,0.3288615594040345,0.3289533608585211,0.3283129815304618,62,666,3,61,621,5904,63,356,6,76,1,4,58,512,11,36,747,7158,78,457.0,0.059282371294851796,0.02207747945503061,0.0686427457098284,0.004749071128904292,0.01014040561622465,0.9999999306557845,0.0405616224648986,0.24229735018284013,0.08685187782701421,0.848779835282204,0.00877714636115755,0.055591140529624265
6,72672,actdist_22,-99,0.7099526066350711,0.2509640684354137,0.2506282765438671,0.2503932627364834,0.8322274881516588,0.7255924170616114,0.981042654028436,0.8810426540284361,0.0923076923076923,0.8354646206308611,0.0,0.07380073800738007,0.09375,0.8244531688166012,0.0,0.08565310492505353,0.09090909090909091,0.8467741935483871,0.0,0.06482982171799027,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.812954186413902,0.3346187579138849,0.3341710353918228,0.3338576836486445,72,668,8,44,629,5880,60,375,13,66,0,8,54,518,5,40,768,7132,73,467.0,0.059282371294851796,0.02207747945503061,0.06396255850234009,0.010532224661681982,0.015600624024960999,0.9976846591343851,0.04758190327613104,0.10975821915180108,0.09155016953791316,0.8471121521659642,0.006972048577492243,0.054365629718630425
7,159834,actdist_22,-99,0.7154028436018958,0.2557528219886315,0.25566593485478295,0.25520323929353916,0.8421800947867298,0.7286729857819905,0.9799763033175355,0.8799763033175355,0.10363391655450875,0.8381396663839412,0.023121387283236993,0.0559179869524697,0.11095100864553314,0.8230149916712938,0.023255813953488372,0.06578947368421052,0.09722222222222222,0.8538306451612904,0.022988505747126436,0.04862236628849271,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8169431279620852,0.3332518246670125,0.3332250778906684,0.3325638566303066,77,670,3,42,564,5929,73,378,6,73,2,6,47,532,8,30,694,7204,86,456.0,0.04914196567862714,0.09045285604320392,0.07332293291731669,0.002023952493642709,0.0062402496099844,1.0,0.0452418096723869,0.14498473093636366,0.07976954017905484,0.8523812459866527,0.010927943477798715,0.056921270356493886
8,97687,actdist_22,-99,0.716824644549763,0.25588708711217395,0.2550431740965738,0.25493223829743156,0.8367298578199052,0.7329383886255925,0.9811611374407583,0.8828199052132701,0.10286458333333333,0.8403004109394928,0.0,0.07656395891690009,0.10618279569892473,0.8270571827057183,0.0,0.09030837004405286,0.09974747474747475,0.8539746543778802,0.0,0.06645056726094004,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8174960505529226,0.34118278281623193,0.34005756546209837,0.33990965106324206,79,657,10,46,598,5930,53,363,3,80,0,4,64,503,9,41,744,7170,72,454.0,0.06318252730109204,0.011961659865334553,0.07332293291731669,0.002023952493642709,0.0187207488299532,0.9782895606797654,0.0499219968798752,0.08192022590422271,0.08736748083060122,0.8506483993223067,0.006687793343818684,0.05529632650327339
9,102489,actdist_22,-99,0.7116113744075829,0.24768571219865956,0.24823091924963062,0.24753536119067543,0.8359004739336493,0.7266587677725118,0.9813981042654029,0.8792654028436019,0.0870138431114041,0.8366956891059673,0.012578616352201257,0.05385329619312905,0.0910344827586207,0.8227759988862592,0.013888888888888888,0.06304347826086956,0.08333333333333333,0.851094470046083,0.011494252873563218,0.04700162074554295,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8139415481832543,0.3256179866352498,0.3271431413749864,0.3258542761368335,66,675,4,47,596,5910,58,380,9,73,1,4,54,525,9,29,725,7183,72,460.0,0.0436817472698908,0.17316697675396048,0.08268330733229329,0.0003103319337628566,0.0062402496099844,1.0,0.04914196567862714,0.09045285604320392,0.07957297620811005,0.8576900860543005,0.009453202089035108,0.05328373564855437
10,165566,actdist_22,-99,0.7048578199052132,0.2401183901376107,0.24172644933161241,0.24059763152371116,0.8299763033175356,0.7203791469194313,0.9804502369668247,0.8789099526066351,0.07479045776918117,0.8325528593727828,0.011976047904191616,0.04307116104868913,0.0764163372859025,0.8205594405594405,0.0125,0.050997782705099776,0.07323232323232323,0.8449020737327189,0.011494252873563218,0.03727714748784441,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8097551342812007,0.3159911868501476,0.31847051481762884,0.31680482606355104,58,684,10,40,632,5867,61,384,10,72,1,4,59,527,8,23,759,7150,80,451.0,0.06474258970358815,0.009259099020707184,0.07410296411856475,0.0017461550931588627,0.0062402496099844,1.0,0.05850234009360374,0.024839436981234884,0.08698972875190934,0.852653111873286,0.009737824937180128,0.050619334437624654
11,128860,actdist_22,-99,0.7046208530805688,0.25929280487501183,0.25875470364810166,0.2587397647252667,0.8340047393364929,0.7171800947867298,0.9813981042654029,0.8766587677725118,0.08848405985686401,0.8303844240744688,0.059880239520958084,0.056210335448776065,0.0912751677852349,0.8196100434843596,0.0625,0.06378600823045268,0.08585858585858586,0.8414458525345622,0.05747126436781609,0.050243111831442464,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8092812006319114,0.3248904065000157,0.32584918340819685,0.32502627312670296,68,685,8,31,619,5843,63,419,8,69,5,5,50,532,4,31,745,7129,80,486.0,0.06786271450858035,0.005444541761166535,0.06942277691107644,0.00413595255461084,0.0124804992199688,0.9999665370904446,0.0436817472698908,0.17316697675396048,0.08868552163243018,0.8444726726102131,0.00832110460621109,0.05852070115114564
12,166444,actdist_22,-99,0.7100710900473933,0.25070152918432287,0.2501570534254151,0.24996370682106456,0.8311611374407583,0.7261848341232228,0.9813981042654029,0.8813981042654029,0.08242112041210561,0.8360178812176258,0.012578616352201257,0.06883720930232559,0.08409986859395532,0.8240313330535739,0.013888888888888888,0.08078602620087336,0.08080808080808081,0.8483582949308756,0.011494252873563218,0.059967585089141004,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8129146919431279,0.32963907594946756,0.32971132027603245,0.32909207031068566,64,668,5,55,632,5891,62,359,8,71,1,7,57,519,4,37,761,7149,72,458.0,0.06786271450858035,0.005444541761166535,0.06630265210608424,0.0071223865199723235,0.01638065522620905,0.9953937024608591,0.0421216848673947,0.2055040810504769,0.09095237555871112,0.84663504849296,0.007161002335091297,0.055251573613237674
13,186036,actdist_22,-99,0.7082938388625593,0.24924273357033472,0.24977718980674554,0.24925206946921574,0.8355450236966825,0.7231042654028436,0.9809241706161137,0.8770142180094787,0.103359173126615,0.8338664960545957,0.0,0.05978260869565218,0.10582010582010581,0.8233890214797136,0.0,0.06776180698151951,0.10101010101010101,0.8446140552995391,0.0,0.05348460291734198,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8118878357030015,0.3323236447604463,0.3330362530756607,0.33233609262562097,80,661,7,44,611,5865,63,405,9,73,0,5,56,524,4,33,756,7123,74,487.0,0.05850234009360374,0.024839436981234884,0.06396255850234009,0.010532224661681982,0.00858034321372855,0.9999999999532284,0.036661466458658344,0.3551063299683852,0.08671173302959344,0.8432142022561667,0.01017114305378156,0.059902921660458346
14,141878,actdist_22,-99,0.7145734597156398,0.25626112418543856,0.2550115402403612,0.2551372999032054,0.837914691943128,0.7300947867298578,0.9819905213270143,0.8791469194312796,0.08678237650200267,0.8387827317763624,0.02564102564102564,0.06934306569343066,0.09206798866855524,0.8246590592819371,0.028985507246376812,0.07933194154488518,0.08207070707070707,0.8533986175115207,0.022988505747126436,0.06158833063209076,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8157187993680884,0.3320196631651258,0.3323525517381062,0.3316360579905986,65,678,7,42,567,5926,56,395,12,69,2,4,62,513,4,38,706,7186,69,479.0,0.05694227769110764,0.03129588501816664,0.07644305772230889,0.0011108208003646437,0.015600624024960999,0.9976846591343851,0.041341653666146644,0.22332692205943638,0.0868378600894328,0.8509012314589116,0.006741849196152895,0.055519059255502656
15,113687,actdist_22,-99,0.7139810426540284,0.2529776692729437,0.25214307394765645,0.25213426123860305,0.841350710900474,0.7287914691943128,0.9787914691943128,0.8790284360189573,0.10314802411252512,0.837809112166088,0.0,0.06757990867579908,0.10984308131241084,0.8246617380387781,0.0,0.07740585774058577,0.09722222222222222,0.8513824884792627,0.0,0.059967585089141004,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8163902053712481,0.33730355903059156,0.3361907652635419,0.33617901498480407,77,663,5,47,563,5912,81,388,5,76,0,6,56,518,6,37,701,7169,92,478.0,0.05070202808112324,0.07407616908008524,0.07098283931357255,0.0031222494707529463,0.0093603744149766,0.9999999971357316,0.0421216848673947,0.2055040810504769,0.08539467858308492,0.847778595584515,0.011021633549720133,0.055805092282680116
16,36455,actdist_22,-99,0.7169431279620853,0.2479238383890604,0.2486913875910778,0.24763377622235672,0.8375592417061611,0.7303317535545024,0.9817535545023697,0.8842417061611374,0.09504950495049505,0.8394469525959367,0.0,0.056038647342995164,0.0995850622406639,0.8227323008849557,0.0,0.06937799043062201,0.09090909090909091,0.8568548387096774,0.0,0.04700162074554295,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8173775671406003,0.33056511785208054,0.33158851678810375,0.3301783682964756,72,680,4,36,586,5950,59,349,4,79,0,4,61,523,4,29,723,7232,67,418.0,0.05538221528861154,0.039184482465150855,0.06630265210608424,0.0071223865199723235,0.0109204368174727,0.9999991415627335,0.057722308892355696,0.027903219935331236,0.09030236307139028,0.8491039006926234,0.008493096186432491,0.05210064004955384
17,86974,actdist_22,-99,0.7103080568720379,0.25331910453834167,0.2532267898914958,0.252855557788841,0.8348341232227489,0.7247630331753554,0.9800947867298578,0.8809241706161137,0.10296010296010297,0.8350727724529642,0.011764705882352941,0.061624649859943974,0.10498687664041995,0.8235541240722588,0.012048192771084338,0.07268722466960352,0.10101010101010101,0.846918202764977,0.011494252873563218,0.05348460291734198,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8135071090047393,0.3337427417940941,0.33380430223080665,0.3332191750910037,80,663,3,46,623,5881,70,370,7,74,1,5,52,523,9,33,762,7141,83,454.0,0.06708268330733229,0.006232088293785863,0.07566302652106084,0.0012936140965084963,0.0109204368174727,0.9999991415627335,0.05538221528861154,0.039184482465150855,0.08794845594845938,0.8527499308708186,0.008682974787276103,0.0506186383934459
18,16336,actdist_22,-99,0.7106635071090047,0.25930238680924583,0.25714186862194205,0.2577183528077862,0.8362559241706161,0.7252369668246446,0.9827014218009479,0.877132701421801,0.0943643512450852,0.8354969142370717,0.039473684210526314,0.061538461538461535,0.09809264305177112,0.823290926883825,0.046153846153846156,0.06967213114754098,0.09090909090909091,0.8480702764976958,0.034482758620689655,0.055105348460291734,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8128751974723539,0.3303519003610457,0.3313615719556928,0.3304665756735395,72,668,3,49,601,5889,55,399,9,69,3,6,52,527,4,34,734,7153,65,488.0,0.06318252730109204,0.011961659865334553,0.06942277691107644,0.00413595255461084,0.0187207488299532,0.9782895606797654,0.044461778471138844,0.1585769946482069,0.09101475696293054,0.8483227343093271,0.005182952749255401,0.055479555978487013
19,190561,actdist_22,-99,0.7086492890995261,0.25116316726045945,0.25045232913755905,0.2504186039025395,0.8327014218009479,0.7234597156398104,0.9811611374407583,0.8799763033175355,0.07832898172323761,0.8343506032647267,0.012422360248447204,0.07657247037374658,0.08108108108108109,0.8225580744472432,0.013513513513513514,0.0875,0.07575757575757576,0.8464861751152074,0.011494252873563218,0.06807131280388978,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.812045813586098,0.3303797185094414,0.3301050212255577,0.3297506851205703,60,680,7,45,617,5878,60,389,10,72,1,4,53,516,6,42,740,7146,74,480.0,0.05070202808112324,0.07407616908008524,0.0686427457098284,0.004749071128904292,0.01014040561622465,0.9999999306557845,0.0436817472698908,0.17316697675396048,0.08715032581399156,0.8501352885717073,0.007981376892069875,0.05473300872223118
20,5170,actdist_22,-99,0.7124407582938389,0.2473521953743132,0.24787154375522585,0.24719036961633245,0.8354265402843601,0.728436018957346,0.9806872037914692,0.8803317535545023,0.09156311314584696,0.837608048745926,0.0,0.05959031657355679,0.09497964721845319,0.8244072524407252,0.0,0.0700218818380744,0.08838383838383838,0.8512384792626728,0.0,0.05186385737439222,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8147314375987361,0.32980292716575094,0.33049539167363445,0.32958715948844325,70,666,6,50,596,5911,67,370,6,76,0,5,65,517,3,32,737,7170,76,457.0,0.0514820592823713,0.06687825742127132,0.0717628705148206,0.00270640402060558,0.01014040561622465,0.9999999306557845,0.0530421216848674,0.054257094889599115,0.08263964740818484,0.8527111287578277,0.00891486145646961,0.055734362377517714
21,132354,actdist_22,-99,0.7090047393364929,0.2467965670581692,0.2465888409725926,0.24608015310023035,0.8280805687203792,0.7246445497630332,0.9811611374407583,0.8841232227488152,0.07520713830465264,0.8352707683583781,0.012422360248447204,0.06142034548944337,0.07593307593307594,0.8224455611390284,0.013513513513513514,0.07529411764705882,0.07449494949494949,0.8485023041474654,0.011494252873563218,0.05186385737439222,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8122827804107425,0.32455758490638775,0.32495370367226906,0.3239660840508247,59,672,7,54,659,5892,58,335,7,75,1,4,52,525,8,32,777,7164,74,425.0,0.06396255850234009,0.010532224661681982,0.07722308892355695,0.0009523619317222971,0.01014040561622465,0.9999999306557845,0.05694227769110764,0.03129588501816664,0.08826270071867082,0.8499025033320019,0.009708990198762375,0.05212580575056483
22,105715,actdist_22,-99,0.7177725118483412,0.25908280878625994,0.2569869884962751,0.257457206210166,0.8412322274881516,0.7322274881516587,0.9793838862559242,0.8827014218009479,0.10307898259705488,0.8400339750849376,0.0,0.08671586715867158,0.10968660968660969,0.8260022271714922,0.0,0.1006423982869379,0.09722222222222222,0.8545506912442397,0.0,0.07617504051863858,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8187203791469194,0.3454437450483466,0.34264931799503345,0.343276274946888,77,666,10,39,563,5934,70,377,8,75,0,4,54,509,7,47,702,7184,87,467.0,0.0530421216848674,0.054257094889599115,0.0686427457098284,0.004749071128904292,0.00858034321372855,0.9999999999532284,0.042901716068642744,0.1887962278241899,0.08182946119422631,0.8507136185636311,0.012273965267254957,0.055182954974887545
23,12174,actdist_22,-99,0.7084123222748815,0.24453697259252566,0.24496953984515743,0.2443683480986806,0.8350710900473933,0.7227488151658767,0.9796208530805687,0.8793838862559241,0.08421052631578947,0.8341131433432583,0.0,0.059149722735674676,0.08791208791208792,0.8214185981569394,0.0,0.06881720430107527,0.08080808080808081,0.8472062211981567,0.0,0.05186385737439222,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8124012638230647,0.3260492967900342,0.3266260531268766,0.3258244641315741,64,674,9,45,613,5883,68,380,6,73,0,8,45,532,8,32,728,7162,85,465.0,0.05226209048361934,0.060285220638898025,0.06630265210608424,0.0071223865199723235,0.0078003120124804995,0.9999999999997958,0.0530421216848674,0.054257094889599115,0.08838443385624316,0.8483409379527841,0.010645306671277121,0.05262932151969563
24,71327,actdist_22,-99,0.7127962085308057,0.25062645546647305,0.2500302318978031,0.24970319390020426,0.8364928909952607,0.726303317535545,0.9825829383886255,0.8802132701421801,0.08122503328894806,0.8368413617742619,0.026490066225165563,0.05425631431244154,0.08591549295774648,0.8211810368727475,0.03125,0.06415929203539823,0.07702020202020202,0.853110599078341,0.022988505747126436,0.04700162074554295,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8143364928909952,0.32375194062196405,0.325710807281362,0.3241075697918838,61,686,6,39,593,5924,53,374,4,71,2,10,52,533,3,29,710,7214,64,452.0,0.059282371294851796,0.02207747945503061,0.07098283931357255,0.0031222494707529463,0.01326053042121685,0.9998703254634866,0.060842433697347896,0.017359042668724935,0.09022848641676832,0.8511234624200176,0.007745725775810489,0.05090232538740363
25,107119,actdist_22,-99,0.7101895734597157,0.2499574813612678,0.24993553107058647,0.24941143919697453,0.830568720379147,0.7255924170616114,0.9815165876777251,0.8827014218009479,0.09033078880407124,0.8357213789189957,0.012658227848101266,0.058935361216730035,0.09102564102564102,0.8234554095610848,0.014084507042253521,0.07126436781609195,0.08964646464646464,0.8483582949308756,0.011494252873563218,0.050243111831442464,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.812954186413902,0.32858180613427257,0.3294159571362609,0.32832917631326564,71,664,7,50,646,5891,57,350,9,73,1,4,54,526,6,31,780,7154,71,435.0,0.0748829953198128,0.0015041263396536084,0.06786271450858035,0.005444541761166535,0.00858034321372855,0.9999999999532284,0.06318252730109204,0.011961659865334553,0.09546166838307184,0.8449575977087797,0.009895391162203875,0.04968534274594453
26,29418,actdist_22,-99,0.7118483412322275,0.2516681692461256,0.2515471155734209,0.2511781459039035,0.8364928909952607,0.7267772511848342,0.9800947867298578,0.8803317535545023,0.0932982917214192,0.8365698086463502,0.011764705882352941,0.06307977736549165,0.09726027397260274,0.8236114987440692,0.012048192771084338,0.0737527114967462,0.08964646464646464,0.8499423963133641,0.011494252873563218,0.055105348460291734,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8145339652448658,0.3315414947378061,0.3315647364733735,0.330982625911087,71,670,7,44,599,5902,66,377,7,73,1,6,53,521,9,34,730,7166,83,461.0,0.0717628705148206,0.00270640402060558,0.062402496099843996,0.013563844303980367,0.0078003120124804995,0.9999999999997958,0.044461778471138844,0.1585769946482069,0.09359308903720394,0.8400790788018031,0.01079209532790525,0.05553573683308768
27,68888,actdist_22,-99,0.7120853080568721,0.25095650885896,0.25061641487415587,0.25047654985085227,0.8359004739336493,0.7299763033175355,0.9800947867298578,0.8781990521327014,0.08821593153390389,0.8381506995241815,0.0,0.07553956834532376,0.0921595598349381,0.826817990752417,0.0,0.08484848484848485,0.0845959595959596,0.8497983870967742,0.0,0.06807131280388978,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8146919431279621,0.3346086784786133,0.3341552198322078,0.3339687331344697,67,668,10,47,578,5901,61,404,13,72,0,2,69,496,10,42,727,7137,81,495.0,0.059282371294851796,0.02207747945503061,0.06630265210608424,0.0071223865199723235,0.00858034321372855,0.9999999999532284,0.028081123244929798,0.6931336387933483,0.08913250571313457,0.8370067496092617,0.009530617603991855,0.06433012707361192
28,142996,actdist_22,-99,0.7022511848341232,0.24183948503961394,0.24264977092908488,0.2420520146361995,0.8337677725118483,0.7171800947867298,0.978909952606635,0.8746445497630332,0.08955223880597016,0.8300946686596911,0.0,0.04856115107913669,0.09212283044058744,0.8206896551724138,0.0,0.05454545454545454,0.08712121212121213,0.8397177419354839,0.0,0.04376012965964344,0.5,0.5,0.5,0.25,0.6911718346398329,0.6245359586554643,0.8085308056872038,0.32245264671948526,0.3235330279054465,0.32273601951493264,69,671,8,44,618,5831,78,417,2,78,0,7,60,525,5,27,749,7105,91,495.0,0.07644305772230889,0.0011108208003646437,0.078003120124805,0.0008152273265333536,0.0124804992199688,0.9999665370904446,0.0327613104524181,0.4972142951157533,0.09474437425109472,0.830814293171606,0.012920471987153693,0.06152086059014564
